Zone Name;Country Iso;All ranges;Zip code from;Zip code to
ZONE 1- LATVIA;LV;0;LV-1001;LV-1004
ZONE 1- LATVIA;LV;0;LV-1005;LV-1007
ZONE 1- LATVIA;LV;0;LV-1008;LV-1008
ZONE 1- LATVIA;LV;0;LV-1009;LV-1016
ZONE 1- LATVIA;LV;0;LV-1017;LV-1017
ZONE 1- LATVIA;LV;0;LV-1018;LV-1019
ZONE 1- LATVIA;LV;0;LV-1020;LV-1020
ZONE 1- LATVIA;LV;0;LV-1021;LV-1021
ZONE 1- LATVIA;LV;0;LV-1022;LV-1022
ZONE 1- LATVIA;LV;0;LV-1023;LV-1024
ZONE 1- LATVIA;LV;0;LV-1025;LV-1026
ZONE 1- LATVIA;LV;0;LV-1027;LV-1027
ZONE 1- LATVIA;LV;0;LV-1029;LV-1030
ZONE 1- LATVIA;LV;0;LV-1033;LV-1033
ZONE 1- LATVIA;LV;0;LV-1034;LV-1035
ZONE 1- LATVIA;LV;0;LV-1038;LV-1039
ZONE 1- LATVIA;LV;0;LV-1044;LV-1044
ZONE 1- LATVIA;LV;0;LV-1045;LV-1047
ZONE 1- LATVIA;LV;0;LV-1048;LV-1048
ZONE 1- LATVIA;LV;0;LV-1050;LV-1050
ZONE 1- LATVIA;LV;0;LV-1051;LV-1051
ZONE 1- LATVIA;LV;0;LV-1053;LV-1053
ZONE 1- LATVIA;LV;0;LV-1055;LV-1055
ZONE 1- LATVIA;LV;0;LV-1057;LV-1058
ZONE 1- LATVIA;LV;0;LV-1063;LV-1064
ZONE 1- LATVIA;LV;0;LV-1067;LV-1067
ZONE 1- LATVIA;LV;0;LV-1069;LV-1069
ZONE 1- LATVIA;LV;0;LV-1073;LV-1073
ZONE 1- LATVIA;LV;0;LV-1076;LV-1076
ZONE 1- LATVIA;LV;0;LV-1078;LV-1078
ZONE 1- LATVIA;LV;0;LV-1079;LV-1079
ZONE 1- LATVIA;LV;0;LV-1080;LV-1080
ZONE 1- LATVIA;LV;0;LV-1082;LV-1085
ZONE 1- LATVIA;LV;0;LV-1131;LV-1131
ZONE 1- LATVIA;LV;0;LV-1142;LV-1143
ZONE 1- LATVIA;LV;0;LV-1145;LV-1145
ZONE 1- LATVIA;LV;0;LV-1159;LV-1160
ZONE 1- LATVIA;LV;0;LV-1162;LV-1163
ZONE 1- LATVIA;LV;0;LV-1165;LV-1167
ZONE 1- LATVIA;LV;0;LV-1170;LV-1170
ZONE 1- LATVIA;LV;0;LV-1172;LV-1173
ZONE 1- LATVIA;LV;0;LV-1176;LV-1176
ZONE 1- LATVIA;LV;0;LV-1178;LV-1178
ZONE 1- LATVIA;LV;0;LV-1183;LV-1185
ZONE 1- LATVIA;LV;0;LV-1187;LV-1187
ZONE 1- LATVIA;LV;0;LV-1190;LV-1190
ZONE 1- LATVIA;LV;0;LV-1192;LV-1195
ZONE 1- LATVIA;LV;0;LV-1206;LV-1206
ZONE 1- LATVIA;LV;0;LV-1222;LV-1222
ZONE 1- LATVIA;LV;0;LV-1227;LV-1227
ZONE 1- LATVIA;LV;0;LV-1230;LV-1230
ZONE 1- LATVIA;LV;0;LV-1235;LV-1235
ZONE 1- LATVIA;LV;0;LV-1254;LV-1254
ZONE 1- LATVIA;LV;0;LV-1301;LV-1301
ZONE 1- LATVIA;LV;0;LV-1306;LV-1306
ZONE 1- LATVIA;LV;0;LV-1309;LV-1309
ZONE 1- LATVIA;LV;0;LV-1325;LV-1325
ZONE 1- LATVIA;LV;0;LV-1331;LV-1332
ZONE 1- LATVIA;LV;0;LV-1340;LV-1340
ZONE 1- LATVIA;LV;0;LV-1355;LV-1357
ZONE 1- LATVIA;LV;0;LV-1360;LV-1360
ZONE 1- LATVIA;LV;0;LV-1364;LV-1364
ZONE 1- LATVIA;LV;0;LV-1371;LV-1372
ZONE 1- LATVIA;LV;0;LV-1395;LV-1395
ZONE 1- LATVIA;LV;0;LV-1421;LV-1421
ZONE 1- LATVIA;LV;0;LV-1423;LV-1423
ZONE 1- LATVIA;LV;0;LV-1426;LV-1427
ZONE 1- LATVIA;LV;0;LV-1442;LV-1443
ZONE 1- LATVIA;LV;0;LV-1451;LV-1452
ZONE 1- LATVIA;LV;0;LV-1457;LV-1457
ZONE 1- LATVIA;LV;0;LV-1459;LV-1459
ZONE 1- LATVIA;LV;0;LV-1461;LV-1461
ZONE 1- LATVIA;LV;0;LV-1468;LV-1468
ZONE 1- LATVIA;LV;0;LV-1473;LV-1473
ZONE 1- LATVIA;LV;0;LV-1475;LV-1475
ZONE 1- LATVIA;LV;0;LV-1478;LV-1479
ZONE 1- LATVIA;LV;0;LV-1483;LV-1484
ZONE 1- LATVIA;LV;0;LV-1487;LV-1487
ZONE 1- LATVIA;LV;0;LV-1494;LV-1495
ZONE 1- LATVIA;LV;0;LV-1501;LV-1502
ZONE 1- LATVIA;LV;0;LV-1504;LV-1506
ZONE 1- LATVIA;LV;0;LV-1508;LV-1511
ZONE 1- LATVIA;LV;0;LV-1518;LV-1520
